# short_name_of_module api_name_of_variable variable_type variable_fortran_name dim1 ndim readonly get_pos set_pos description
wac;MODEL.TEST4;string;TEST4;144;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE STRING DIM1 IS LENGTH OF STRING
wac;MODEL.TEST5;bief_integer;TEST5;0;2;FALSE;NO_POSITION;NO_POSITION;A 2 DIMENSIONAL INTEGER BIEF_OBJ
wac;MODEL.TEST6;bief_double;TEST6;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL DOUBLE BIEF_OBJ
wac;MODEL.TEST7;double;TEST7;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL DOUBLE ARRAY
wac;MODEL.TEST8;integer;TEST8;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL INTEGER ARRAY
wac;MODEL.TEST9;bloc_double;TEST9;0;1;FALSE;NO_POSITION;NO_POSITION;A DOUBLE BLOC ARRAY
sis;MODEL.TEST1;double;TEST1;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE DOUBLE
sis;MODEL.TEST2;boolean;TEST2;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE BOOLEAN
sis;MODEL.TEST3;integer;TEST3;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE INTEGER
sis;MODEL.TEST4;string;TEST4;144;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE STRING DIM1 IS LENGTH OF STRING
sis;MODEL.TEST5;bief_integer;TEST5;0;2;FALSE;NO_POSITION;NO_POSITION;A 2 DIMENSIONAL INTEGER BIEF_OBJ
sis;MODEL.TEST6;bief_double;TEST6;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL DOUBLE BIEF_OBJ
sis;MODEL.TEST7;double;TEST7;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL DOUBLE ARRAY
sis;MODEL.TEST8;integer;TEST8;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL INTEGER ARRAY
sis;MODEL.TEST9;bloc_double;TEST9;0;1;FALSE;NO_POSITION;NO_POSITION;A DOUBLE BLOC ARRAY
