#
#
#
     T       SL(1)
   173700.00     0.9834
   174000.00     0.9777
   174300.00     0.9720
   174600.00     0.9663
   174900.00     0.9497
   175200.00     0.9331
   175500.00     0.9164
   175800.00     0.8997
   176100.00     0.8831
   176400.00     0.8664
   176700.00     0.8400
   177000.00     0.8135
   177300.00     0.7870
   177600.00     0.7605
   177900.00     0.7340
   178200.00     0.7075
   178500.00     0.6730
   178800.00     0.6385
   179100.00     0.6040
   179400.00     0.5694
   179700.00     0.5349
   180000.00     0.5003
   180300.00     0.4602
   180600.00     0.4200
   180900.00     0.3798
   181200.00     0.3396
   181500.00     0.2994
   181800.00     0.2592
   182100.00     0.2160
   182400.00     0.1729
   182700.00     0.1298
   183000.00     0.0866
   183300.00     0.0435
   183600.00     0.0003
   183900.00    -0.0428
   184200.00    -0.0859
   184500.00    -0.1291
   184800.00    -0.1722
   185100.00    -0.2153
   185400.00    -0.2585
   185700.00    -0.2987
   186000.00    -0.3389
   186300.00    -0.3791
   186600.00    -0.4193
   186900.00    -0.4595
   187200.00    -0.4997
   187500.00    -0.5343
   187800.00    -0.5688
   188100.00    -0.6033
   188400.00    -0.6378
   188700.00    -0.6723
   189000.00    -0.7069
   189300.00    -0.7335
   189600.00    -0.7600
   189900.00    -0.7864
   190200.00    -0.8129
   190500.00    -0.8394
   190800.00    -0.8659
   191100.00    -0.8827
   191400.00    -0.8994
   191700.00    -0.9160
   192000.00    -0.9327
   192300.00    -0.9493
   192600.00    -0.9660
   192900.00    -0.9718
   193200.00    -0.9775
   193500.00    -0.9832
   193800.00    -0.9888
   194100.00    -0.9945
   194400.00    -1.0002
   194700.00    -0.9947
   195000.00    -0.9890
   195300.00    -0.9833
   195600.00    -0.9776
   195900.00    -0.9720
   196200.00    -0.9663
   196500.00    -0.9498
   196800.00    -0.9331
   197100.00    -0.9165
   197400.00    -0.8998
   197700.00    -0.8832
   198000.00    -0.8665
   198300.00    -0.8401
   198600.00    -0.8136
   198900.00    -0.7871
   199200.00    -0.7606
   199500.00    -0.7342
   199800.00    -0.7077
   200100.00    -0.6732
   200400.00    -0.6387
   200700.00    -0.6042
   201000.00    -0.5696
   201300.00    -0.5351
   201600.00    -0.5006
   201900.00    -0.4605
   202200.00    -0.4203
   202500.00    -0.3800
   202800.00    -0.3398
   203100.00    -0.2996
   203400.00    -0.2594
   203700.00    -0.2163
   204000.00    -0.1732
   204300.00    -0.1300
   204600.00    -0.0868
   204900.00    -0.0437
   205200.00    -0.0005
   205500.00     0.0427
   205800.00     0.0858
   206100.00     0.1290
   206400.00     0.1722
   206700.00     0.2153
   207000.00     0.2585
   207300.00     0.2987
   207600.00     0.3390
   207900.00     0.3792
   208200.00     0.4194
   208500.00     0.4596
   208800.00     0.4998
   209100.00     0.5344
   209400.00     0.5689
   209700.00     0.6035
   210000.00     0.6380
   210300.00     0.6725
   210600.00     0.7071
   210900.00     0.7337
   211200.00     0.7602
   211500.00     0.7866
   211800.00     0.8131
   212100.00     0.8396
   212400.00     0.8662
   212700.00     0.8829
   213000.00     0.8996
   213300.00     0.9162
   213600.00     0.9329
   213900.00     0.9495
   214200.00     0.9662
   214500.00     0.9720
   214800.00     0.9776
   215100.00     0.9833
   215400.00     0.9890
   215700.00     0.9947
   216000.00     1.0003
   216300.00     0.9948
   216600.00     0.9891
   216900.00     0.9834
   217200.00     0.9777
   217500.00     0.9720
   217800.00     0.9663
   218100.00     0.9497
   218400.00     0.9331
   218700.00     0.9164
   219000.00     0.8997
   219300.00     0.8831
   219600.00     0.8664
   219900.00     0.8400
   220200.00     0.8135
   220500.00     0.7870
   220800.00     0.7605
   221100.00     0.7340
   221400.00     0.7075
   221700.00     0.6730
   222000.00     0.6385
   222300.00     0.6040
   222600.00     0.5694
   222900.00     0.5349
   223200.00     0.5003
   223500.00     0.4602
   223800.00     0.4200
   224100.00     0.3798
   224400.00     0.3396
   224700.00     0.2994
   225000.00     0.2592
   225300.00     0.2160
   225600.00     0.1729
   225900.00     0.1298
   226200.00     0.0866
   226500.00     0.0435
   226800.00     0.0003
   227100.00    -0.0428
   227400.00    -0.0859
   227700.00    -0.1291
   228000.00    -0.1722
   228300.00    -0.2153
   228600.00    -0.2585
   228900.00    -0.2987
   229200.00    -0.3389
   229500.00    -0.3791
   229800.00    -0.4193
   230100.00    -0.4595
   230400.00    -0.4997
   230700.00    -0.5343
   231000.00    -0.5688
   231300.00    -0.6033
   231600.00    -0.6378
   231900.00    -0.6723
   232200.00    -0.7069
   232500.00    -0.7335
   232800.00    -0.7600
   233100.00    -0.7864
   233400.00    -0.8129
   233700.00    -0.8394
   234000.00    -0.8659
   234300.00    -0.8827
   234600.00    -0.8994
   234900.00    -0.9160
   235200.00    -0.9327
   235500.00    -0.9493
   235800.00    -0.9660
   236100.00    -0.9718
   236400.00    -0.9775
   236700.00    -0.9832
   237000.00    -0.9888
   237300.00    -0.9945
   237600.00    -1.0002
   237900.00    -0.9947
   238200.00    -0.9890
   238500.00    -0.9833
   238800.00    -0.9776
   239100.00    -0.9720
   239400.00    -0.9663
   239700.00    -0.9498
   240000.00    -0.9331
   240300.00    -0.9165
   240600.00    -0.8998
   240900.00    -0.8832
   241200.00    -0.8665
   241500.00    -0.8401
   241800.00    -0.8136
   242100.00    -0.7871
   242400.00    -0.7606
   242700.00    -0.7342
   243000.00    -0.7077
   243300.00    -0.6732
   243600.00    -0.6387
   243900.00    -0.6042
   244200.00    -0.5696
   244500.00    -0.5351
   244800.00    -0.5006
   245100.00    -0.4605
   245400.00    -0.4203
   245700.00    -0.3800
   246000.00    -0.3398
   246300.00    -0.2996
   246600.00    -0.2594
   246900.00    -0.2163
   247200.00    -0.1732
   247500.00    -0.1300
   247800.00    -0.0868
   248100.00    -0.0437
   248400.00    -0.0005
   248700.00     0.0427
   249000.00     0.0858
   249300.00     0.1290
   249600.00     0.1722
   249900.00     0.2153
   250200.00     0.2585
   250500.00     0.2987
   250800.00     0.3390
   251100.00     0.3792
   251400.00     0.4194
   251700.00     0.4596
   252000.00     0.4998
   252300.00     0.5344
   252600.00     0.5689
   252900.00     0.6035
   253200.00     0.6380
   253500.00     0.6725
   253800.00     0.7071
   254100.00     0.7337
   254400.00     0.7602
   254700.00     0.7866
   255000.00     0.8131
   255300.00     0.8396
   255600.00     0.8662
   255900.00     0.8829
   256200.00     0.8996
   256500.00     0.9162
   256800.00     0.9329
   257100.00     0.9495
   257400.00     0.9662
   257700.00     0.9720
   258000.00     0.9776
   258300.00     0.9833
   258600.00     0.9890
   258900.00     0.9947
   259200.00     1.0003
