#
# Sinusoidal elevation
#
T SL(1)
25700 1.97446
25800 1.97240
25900 1.97026
26000 1.96804
26100 1.96575
26200 1.96338
26300 1.96093
26400 1.95841
26500 1.95581
26600 1.95314
26700 1.95040
26800 1.94758
26900 1.94469
27000 1.94173
27100 1.93869
27200 1.93559
27300 1.93241
27400 1.92916
27500 1.92585
27600 1.92246
27700 1.91901
27800 1.91548
27900 1.91190
28000 1.90824
28100 1.90452
28200 1.90074
28300 1.89689
28400 1.89297
28500 1.88900
28600 1.88496
28700 1.88086
28800 1.87670
28900 1.87248
29000 1.86820
29100 1.86386
29200 1.85947
29300 1.85501
29400 1.85050
29500 1.84594
29600 1.84132
29700 1.83665
29800 1.83193
29900 1.82715
30000 1.82233
30100 1.81745
30200 1.81253
30300 1.80755
30400 1.80253
30500 1.79747
30600 1.79236
30700 1.78720
30800 1.78200
30900 1.77676
31000 1.77147
31100 1.76615
31200 1.76078
31300 1.75538
31400 1.74994
31500 1.74446
31600 1.73895
31700 1.73340
31800 1.72782
31900 1.72221
32000 1.71656
32100 1.71089
32200 1.70518
32300 1.69945
32400 1.69369
32500 1.68790
32600 1.68208
32700 1.67625
32800 1.67039
32900 1.66451
33000 1.65860
33100 1.65268
33200 1.64674
33300 1.64078
33400 1.63480
33500 1.62881
33600 1.62280
33700 1.61678
33800 1.61075
33900 1.60471
34000 1.59865
34100 1.59259
34200 1.58652
34300 1.58045
34400 1.57436
34500 1.56828
34600 1.56219
34700 1.55609
34800 1.55000
34900 1.54391
35000 1.53781
35100 1.53172
35200 1.52564
35300 1.51955
35400 1.51348
35500 1.50741
35600 1.50135
35700 1.49529
35800 1.48925
35900 1.48322
36000 1.47720
36100 1.47119
36200 1.46520
36300 1.45922
36400 1.45326
36500 1.44732
36600 1.44140
36700 1.43549
36800 1.42961
36900 1.42375
37000 1.41792
37100 1.41210
37200 1.40631
37300 1.40055
37400 1.39482
37500 1.38911
37600 1.38344
37700 1.37779
37800 1.37218
37900 1.36660
38000 1.36105
38100 1.35554
38200 1.35006
38300 1.34462
38400 1.33922
38500 1.33385
38600 1.32853
38700 1.32324
38800 1.31800
38900 1.31280
39000 1.30764
39100 1.30253
39200 1.29747
39300 1.29245
39400 1.28747
39500 1.28255
39600 1.27767
39700 1.27285
39800 1.26807
39900 1.26335
40000 1.25868
40100 1.25406
40200 1.24950
40300 1.24499
40400 1.24054
40500 1.23614
40600 1.23180
40700 1.22752
40800 1.22330
40900 1.21914
41000 1.21504
41100 1.21100
41200 1.20703
41300 1.20311
41400 1.19926
41500 1.19548
41600 1.19176
41700 1.18810
41800 1.18452
41900 1.18099
42000 1.17754
42100 1.17415
42200 1.17084
42300 1.16759
42400 1.16441
42500 1.16131
42600 1.15827
42700 1.15531
42800 1.15242
42900 1.14960
43000 1.14686
43100 1.14419
43200 1.14159
43300 1.13907
43400 1.13662
43500 1.13425
43600 1.13196
43700 1.12974
43800 1.12760
43900 1.12554
44000 1.12356
44100 1.12165
44200 1.11982
44300 1.11807
44400 1.11640
44500 1.11481
44600 1.11330
44700 1.11187
44800 1.11052
44900 1.10925
45000 1.10806
45100 1.10695
45200 1.10593
45300 1.10498
45400 1.10412
45500 1.10334
45600 1.10264
45700 1.10202
45800 1.10148
45900 1.10103
46000 1.10066
46100 1.10037
46200 1.10016
46300 1.10004
46400 1.10000
46500 1.10004
46600 1.10016
46700 1.10037
46800 1.10066
46900 1.10103
47000 1.10148
47100 1.10202
47200 1.10264
47300 1.10334
47400 1.10412
47500 1.10498
47600 1.10593
47700 1.10695
47800 1.10806
47900 1.10925
48000 1.11052
48100 1.11187
48200 1.11330
48300 1.11481
48400 1.11640
48500 1.11807
48600 1.11982
48700 1.12165
48800 1.12356
48900 1.12554
49000 1.12760
49100 1.12974
49200 1.13196
49300 1.13425
49400 1.13662
49500 1.13907
49600 1.14159
49700 1.14419
49800 1.14686
49900 1.14960
50000 1.15242
50100 1.15531
50200 1.15827
50300 1.16131
50400 1.16441
50500 1.16759
50600 1.17084
50700 1.17415
50800 1.17754
50900 1.18099
51000 1.18452
51100 1.18810
51200 1.19176
51300 1.19548
51400 1.19926
51500 1.20311
51600 1.20703
51700 1.21100
51800 1.21504
51900 1.21914
52000 1.22330
52100 1.22752
52200 1.23180
52300 1.23614
52400 1.24054
52500 1.24499
52600 1.24950
52700 1.25406
52800 1.25868
52900 1.26335
53000 1.26807
53100 1.27285
53200 1.27767
53300 1.28255
53400 1.28747
53500 1.29245
53600 1.29747
53700 1.30253
53800 1.30764
53900 1.31280
54000 1.31800
54100 1.32324
54200 1.32853
54300 1.33385
54400 1.33922
54500 1.34462
54600 1.35006
54700 1.35554
54800 1.36105
54900 1.36660
55000 1.37218
55100 1.37779
55200 1.38344
55300 1.38911
55400 1.39482
55500 1.40055
55600 1.40631
55700 1.41210
55800 1.41792
55900 1.42375
56000 1.42961
56100 1.43549
56200 1.44140
56300 1.44732
56400 1.45326
56500 1.45922
56600 1.46520
56700 1.47119
56800 1.47720
56900 1.48322
57000 1.48925
57100 1.49529
57200 1.50135
57300 1.50741
57400 1.51348
57500 1.51955
57600 1.52564
57700 1.53172
57800 1.53781
57900 1.54391
58000 1.55000
58100 1.55609
58200 1.56219
58300 1.56828
58400 1.57436
58500 1.58045
58600 1.58652
58700 1.59259
58800 1.59865
58900 1.60471
59000 1.61075
59100 1.61678
59200 1.62280
59300 1.62881
59400 1.63480
59500 1.64078
59600 1.64674
59700 1.65268
59800 1.65860
59900 1.66451
60000 1.67039
60100 1.67625
60200 1.68208
60300 1.68790
60400 1.69369
60500 1.69945
60600 1.70518
60700 1.71089
60800 1.71656
60900 1.72221
61000 1.72782
61100 1.73340
61200 1.73895
61300 1.74446
61400 1.74994
61500 1.75538
61600 1.76078
61700 1.76615
61800 1.77147
61900 1.77676
62000 1.78200
62100 1.78720
62200 1.79236
62300 1.79747
62400 1.80253
62500 1.80755
62600 1.81253
62700 1.81745
62800 1.82233
62900 1.82715
63000 1.83193
63100 1.83665
63200 1.84132
