#Levee count
5   0   0.5
#Levee 1 - element count : 
20
#       xNstartLeft       yNstartLeft         xNendLeft         yNendLeft      xNstartright      yNstartright        xNendright        yNendright
#      1000.0000000         0.0000000      1000.0000000      1000.0000000      1050.0000000         0.0000000      1050.0000000      1000.0000000
# Compt                Xa                Ya                Za    N1a   N1'a    N2a   N2'a                Xb                Yb                Zb    N1b   N1'b    N2b   N2'b   IPARAM1   IPARAM2   RPARAM1   RPARAM2  atyp   axoriginalpoint   ayoriginalpoint  btyp   bxoriginalpoint   byoriginalpoint
     26      2060.0000000       125.0000000        97.0000000    973    972    506    507      2090.0000000       150.0000000        97.0000000    973    972    506    507         1         1       1.0       1.0     R      2060.0000000       125.0000000     R      2090.0000000       150.0000000
     27      2090.0000000       150.0000000        97.0000000    973    972    506    507      2060.0000000       175.0000000        97.0000000    973    972    507    506         1         1       1.0       1.0     R      2090.0000000       150.0000000     R      2060.0000000       175.0000000
     28      2060.0000000       175.0000000        97.0000000    973    972    507    506      2090.0000000       200.0000000        97.0000000    973    974    507    508         1         1       1.0       1.0     R      2060.0000000       175.0000000     R      2090.0000000       200.0000000
     29      2090.0000000       200.0000000        97.0000000    973    974    507    508      2060.0000000       225.0000000        97.0000000    973    974    507    508         1         1       1.0       1.0     R      2090.0000000       200.0000000     R      2060.0000000       225.0000000
     30      2060.0000000       225.0000000        97.0000000    973    974    507    508      2090.0000000       250.0000000        97.0000000    973    974    507    508         1         1       1.0       1.0     R      2060.0000000       225.0000000     R      2090.0000000       250.0000000
     31      2090.0000000       250.0000000        97.0000000    973    974    507    508      2060.0000000       275.0000000        97.0000000    973    974    508    507         1         1       1.0       1.0     R      2090.0000000       250.0000000     R      2060.0000000       275.0000000
     32      2060.0000000       275.0000000        97.0000000    973    974    508    507      2090.0000000       300.0000000        97.0000000    973    974    508    509         1         1       1.0       1.0     R      2060.0000000       275.0000000     R      2090.0000000       300.0000000
     33      2090.0000000       300.0000000        97.0000000    973    974    508    509      2060.0000000       325.0000000        97.0000000    974    973    508    509         1         1       1.0       1.0     R      2090.0000000       300.0000000     R      2060.0000000       325.0000000
     34      2060.0000000       325.0000000        97.0000000    974    973    508    509      2090.0000000       350.0000000        97.0000000    974    973    508    509         1         1       1.0       1.0     R      2060.0000000       325.0000000     R      2090.0000000       350.0000000
     35      2090.0000000       350.0000000        97.0000000    974    973    508    509      2060.0000000       375.0000000        97.0000000    974    973    509    508         1         1       1.0       1.0     R      2090.0000000       350.0000000     R      2060.0000000       375.0000000
     36      2060.0000000       375.0000000        97.0000000    974    973    509    508      2090.0000000       400.0000000        97.0000000    974    975    509    510         1         1       1.0       1.0     R      2060.0000000       375.0000000     R      2090.0000000       400.0000000
     37      2090.0000000       400.0000000        97.0000000    974    975    509    510      2060.0000000       425.0000000        97.0000000    974    975    509    510         1         1       1.0       1.0     R      2090.0000000       400.0000000     R      2060.0000000       425.0000000
     38      2060.0000000       425.0000000        97.0000000    974    975    509    510      2090.0000000       450.0000000        97.0000000    974    975    509    510         1         1       1.0       1.0     R      2060.0000000       425.0000000     R      2090.0000000       450.0000000
     39      2090.0000000       450.0000000        97.0000000    974    975    509    510      2060.0000000       475.0000000        97.0000000    974    975    510    509         1         1       1.0       1.0     R      2090.0000000       450.0000000     R      2060.0000000       475.0000000
     40      2060.0000000       475.0000000        97.0000000    974    975    510    509      2090.0000000       500.0000000        97.0000000    974    975    510    511         1         1       1.0       1.0     R      2060.0000000       475.0000000     R      2090.0000000       500.0000000
     41      2090.0000000       500.0000000        97.0000000    974    975    510    511      2060.0000000       525.0000000        97.0000000    975    974    510    511         1         1       1.0       1.0     R      2090.0000000       500.0000000     R      2060.0000000       525.0000000
     42      2060.0000000       525.0000000        97.0000000    975    974    510    511      2090.0000000       550.0000000        97.0000000    975    974    510    511         1         1       1.0       1.0     R      2060.0000000       525.0000000     R      2090.0000000       550.0000000
     43      2090.0000000       550.0000000        97.0000000    975    974    510    511      2060.0000000       575.0000000        97.0000000    975    974    511    510         1         1       1.0       1.0     R      2090.0000000       550.0000000     R      2060.0000000       575.0000000
     44      2060.0000000       575.0000000        97.0000000    975    974    511    510      2090.0000000       600.0000000        97.0000000    975    976    511    512         1         1       1.0       1.0     R      2060.0000000       575.0000000     R      2090.0000000       600.0000000
     45      2090.0000000       600.0000000        97.0000000    975    976    511    512      2060.0000000       625.0000000        97.0000000    975    976    511    512         1         1       1.0       1.0     R      2090.0000000       600.0000000     R      2060.0000000       625.0000000
     46      2060.0000000       625.0000000        97.0000000    975    976    511    512      2090.0000000       650.0000000        97.0000000    975    976    511    512         1         1       1.0       1.0     R      2060.0000000       625.0000000     R      2090.0000000       650.0000000
     47      2090.0000000       650.0000000        97.0000000    975    976    511    512      2060.0000000       675.0000000        97.0000000    975    976    512    511         1         1       1.0       1.0     R      2090.0000000       650.0000000     R      2060.0000000       675.0000000
     48      2060.0000000       675.0000000        97.0000000    975    976    512    511      2090.0000000       700.0000000        97.0000000    975    976    512    513         1         1       1.0       1.0     R      2060.0000000       675.0000000     R      2090.0000000       700.0000000
     49      2090.0000000       700.0000000        97.0000000    975    976    512    513      2060.0000000       725.0000000        97.0000000    976    975    512    513         1         1       1.0       1.0     R      2090.0000000       700.0000000     R      2060.0000000       725.0000000
     50      2060.0000000       725.0000000        97.0000000    976    975    512    513      2090.0000000       750.0000000        97.0000000    976    975    512    513         1         1       1.0       1.0     R      2060.0000000       725.0000000     R      2090.0000000       750.0000000
     51      2090.0000000       750.0000000        97.0000000    976    975    512    513      2060.0000000       775.0000000        97.0000000    976    975    513    512         1         1       1.0       1.0     R      2090.0000000       750.0000000     R      2060.0000000       775.0000000
     52      2060.0000000       775.0000000        97.0000000    976    975    513    512      2090.0000000       800.0000000        97.0000000    976    977    513    514         1         1       1.0       1.0     R      2060.0000000       775.0000000     R      2090.0000000       800.0000000
     53      2090.0000000       800.0000000        97.0000000    976    977    513    514      2060.0000000       825.0000000        97.0000000    976    977    513    514         1         1       1.0       1.0     R      2090.0000000       800.0000000     R      2060.0000000       825.0000000
     54      2060.0000000       825.0000000        97.0000000    976    977    513    514      2090.0000000       850.0000000        97.0000000    976    977    513    514         1         1       1.0       1.0     R      2060.0000000       825.0000000     R      2090.0000000       850.0000000
     55      2090.0000000       850.0000000        97.0000000    976    977    513    514      2060.0000000       875.0000000        97.0000000    976    977    514    513         1         1       1.0       1.0     R      2090.0000000       850.0000000     R      2060.0000000       875.0000000
     56      2060.0000000       875.0000000        97.0000000    976    977    514    513      2090.0000000       900.0000000        97.0000000    976    977    514    515         1         1       1.0       1.0     R      2060.0000000       875.0000000     R      2090.0000000       900.0000000
     57      2090.0000000       900.0000000        97.0000000    976    977    514    515      2060.0000000       925.0000000        97.0000000    977    976    514    515         1         1       1.0       1.0     R      2090.0000000       900.0000000     R      2060.0000000       925.0000000
     58      2060.0000000       925.0000000        97.0000000    977    976    514    515      2090.0000000       950.0000000        97.0000000    977    976    514    515         1         1       1.0       1.0     R      2060.0000000       925.0000000     R      2090.0000000       950.0000000
     59      2090.0000000       950.0000000        97.0000000    977    976    514    515      2060.0000000       975.0000000        97.0000000    977    976    515    514         1         1       1.0       1.0     R      2090.0000000       950.0000000     R      2060.0000000       975.0000000
     60      2060.0000000       975.0000000        97.0000000    977    976    515    514      2090.0000000      1000.0000000        97.0000000    977    976    515    514         1         1       1.0       1.0     R      2060.0000000       975.0000000     R      2090.0000000      1000.0000000
#Levee 3 - element count : 
10
#       xNstartLeft       yNstartLeft         xNendLeft         yNendLeft      xNstartright      yNstartright        xNendright        yNendright
#      1000.0000000      1050.0000000      1000.0000000      2050.0000000      1050.0000000      1050.0000000      1050.0000000      2050.0000000
# Compt                Xa                Ya                Za    N1a   N1'a    N2a   N2'a                Xb                Yb                Zb    N1b   N1'b    N2b   N2'b   IPARAM1   IPARAM2   RPARAM1   RPARAM2  atyp   axoriginalpoint   ayoriginalpoint  btyp   bxoriginalpoint   byoriginalpoint
     61      1025.0000000      1050.0000000        83.0000000    935    936    638    639      1025.0000000      1150.0000000        82.5000000    935    936    639    640         1         1       1.0       1.0     R      1025.0000000      1050.0000000     R      1025.0000000      1150.0000000
     62      1025.0000000      1150.0000000        82.5000000    935    936    639    640      1025.0000000      1250.0000000        84.0000000    936    937    640    641         1         1       1.0       1.0     R      1025.0000000      1150.0000000     R      1025.0000000      1250.0000000
     63      1025.0000000      1250.0000000        84.0000000    936    937    640    641      1025.0000000      1350.0000000        82.5000000    936    937    641    642         1         1       1.0       1.0     R      1025.0000000      1250.0000000     R      1025.0000000      1350.0000000
     64      1025.0000000      1350.0000000        82.5000000    936    937    641    642      1025.0000000      1450.0000000        83.5000000    937    938    642    643         1         1       1.0       1.0     R      1025.0000000      1350.0000000     R      1025.0000000      1450.0000000
     65      1025.0000000      1450.0000000        83.5000000    937    938    642    643      1025.0000000      1550.0000000        83.0000000    937    938    643    644         1         1       1.0       1.0     R      1025.0000000      1450.0000000     R      1025.0000000      1550.0000000
     66      1025.0000000      1550.0000000        83.0000000    937    938    643    644      1025.0000000      1650.0000000        84.5000000    938    939    644    645         1         1       1.0       1.0     R      1025.0000000      1550.0000000     R      1025.0000000      1650.0000000
     67      1025.0000000      1650.0000000        84.5000000    938    939    644    645      1025.0000000      1750.0000000        84.0000000    938    939    645    646         1         1       1.0       1.0     R      1025.0000000      1650.0000000     R      1025.0000000      1750.0000000
     68      1025.0000000      1750.0000000        84.0000000    938    939    645    646      1025.0000000      1850.0000000        82.5000000    939    940    646    647         1         1       1.0       1.0     R      1025.0000000      1750.0000000     R      1025.0000000      1850.0000000
     69      1025.0000000      1850.0000000        82.5000000    939    940    646    647      1025.0000000      1950.0000000        83.0000000    939    940    647    648         1         1       1.0       1.0     R      1025.0000000      1850.0000000     R      1025.0000000      1950.0000000
     70      1025.0000000      1950.0000000        83.0000000    939    940    647    648      1025.0000000      2050.0000000        83.0000000    940    939    648    647         1         1       1.0       1.0     R      1025.0000000      1950.0000000     R      1025.0000000      2050.0000000
#Levee 4 - element count : 
24
#       xNstartLeft       yNstartLeft         xNendLeft         yNendLeft      xNstartright      yNstartright        xNendright        yNendright
#      2050.0000000      1050.0000000      2050.0000000      2050.0000000      2100.0000000      1050.0000000      2100.0000000      2050.0000000
# Compt                Xa                Ya                Za    N1a   N1'a    N2a   N2'a                Xb                Yb                Zb    N1b   N1'b    N2b   N2'b   IPARAM1   IPARAM2   RPARAM1   RPARAM2  atyp   axoriginalpoint   ayoriginalpoint  btyp   bxoriginalpoint   byoriginalpoint
     71      2075.0000000      1050.0000000        90.0000000    760    761      1      2      2075.0000000      1100.0000000        90.0000000    760    761      2      3         1         1       1.0       1.0     R      2075.0000000      1050.0000000     R      2075.0000000      1100.0000000
     72      2075.0000000      1100.0000000        90.0000000    760    761      2      3      2075.0000000      1150.0000000        90.0000000    761    762      3      4         1         1       1.0       1.0     R      2075.0000000      1100.0000000     R      2075.0000000      1150.0000000
     73      2075.0000000      1150.0000000        90.0000000    761    762      3      4      2075.0000000      1200.0000000        90.0000000    761    762      4      5         1         1       1.0       1.0     R      2075.0000000      1150.0000000     R      2075.0000000      1200.0000000
     74      2075.0000000      1200.0000000        90.0000000    761    762      4      5      2075.0000000      1250.0000000        90.0000000    762    763      5      6         1         1       1.0       1.0     R      2075.0000000      1200.0000000     R      2075.0000000      1250.0000000
     75      2075.0000000      1250.0000000        90.0000000    762    763      5      6      2075.0000000      1300.0000000        90.0000000    762    763      6      7         1         1       1.0       1.0     R      2075.0000000      1250.0000000     R      2075.0000000      1300.0000000
     76      2075.0000000      1300.0000000        90.0000000    762    763      6      7      2075.0000000      1325.0000000        86.0000000    763    762      6      7         1         1       1.0       1.0     R      2075.0000000      1300.0000000     R      2075.0000000      1325.0000000
     77      2075.0000000      1325.0000000        86.0000000    763    762      6      7      2075.0000000      1350.0000000        86.0000000    763    764      7      8         1         1       1.0       1.0     R      2075.0000000      1325.0000000     R      2075.0000000      1350.0000000
     78      2075.0000000      1350.0000000        86.0000000    763    764      7      8      2075.0000000      1375.0000000        90.0000000    763    764      7      8         1         1       1.0       1.0     R      2075.0000000      1350.0000000     R      2075.0000000      1375.0000000
     79      2075.0000000      1375.0000000        90.0000000    763    764      7      8      2075.0000000      1400.0000000        90.0000000    763    764      8      9         1         1       1.0       1.0     R      2075.0000000      1375.0000000     R      2075.0000000      1400.0000000
     80      2075.0000000      1400.0000000        90.0000000    763    764      8      9      2075.0000000      1450.0000000        90.0000000    764    765      9     10         1         1       1.0       1.0     R      2075.0000000      1400.0000000     R      2075.0000000      1450.0000000
     81      2075.0000000      1450.0000000        90.0000000    764    765      9     10      2075.0000000      1500.0000000        90.0000000    764    765     10     11         1         1       1.0       1.0     R      2075.0000000      1450.0000000     R      2075.0000000      1500.0000000
     82      2075.0000000      1500.0000000        90.0000000    764    765     10     11      2075.0000000      1550.0000000        90.0000000    765    766     11     12         1         1       1.0       1.0     R      2075.0000000      1500.0000000     R      2075.0000000      1550.0000000
     83      2075.0000000      1550.0000000        90.0000000    765    766     11     12      2075.0000000      1600.0000000        90.0000000    765    766     12     13         1         1       1.0       1.0     R      2075.0000000      1550.0000000     R      2075.0000000      1600.0000000
     84      2075.0000000      1600.0000000        90.0000000    765    766     12     13      2075.0000000      1650.0000000        90.0000000    766    767     13     14         1         1       1.0       1.0     R      2075.0000000      1600.0000000     R      2075.0000000      1650.0000000
     85      2075.0000000      1650.0000000        90.0000000    766    767     13     14      2075.0000000      1700.0000000        90.0000000    766    767     14     15         1         1       1.0       1.0     R      2075.0000000      1650.0000000     R      2075.0000000      1700.0000000
     86      2075.0000000      1700.0000000        90.0000000    766    767     14     15      2075.0000000      1725.0000000        86.0000000    767    766     14     15         1         1       1.0       1.0     R      2075.0000000      1700.0000000     R      2075.0000000      1725.0000000
     87      2075.0000000      1725.0000000        86.0000000    767    766     14     15      2075.0000000      1750.0000000        86.0000000    767    768     15     16         1         1       1.0       1.0     R      2075.0000000      1725.0000000     R      2075.0000000      1750.0000000
     88      2075.0000000      1750.0000000        86.0000000    767    768     15     16      2075.0000000      1775.0000000        90.0000000    767    768     15     16         1         1       1.0       1.0     R      2075.0000000      1750.0000000     R      2075.0000000      1775.0000000
     89      2075.0000000      1775.0000000        90.0000000    767    768     15     16      2075.0000000      1800.0000000        90.0000000    767    768     16     17         1         1       1.0       1.0     R      2075.0000000      1775.0000000     R      2075.0000000      1800.0000000
     90      2075.0000000      1800.0000000        90.0000000    767    768     16     17      2075.0000000      1850.0000000        90.0000000    768    769     17     18         1         1       1.0       1.0     R      2075.0000000      1800.0000000     R      2075.0000000      1850.0000000
     91      2075.0000000      1850.0000000        90.0000000    768    769     17     18      2075.0000000      1900.0000000        90.0000000    768    769     18     19         1         1       1.0       1.0     R      2075.0000000      1850.0000000     R      2075.0000000      1900.0000000
     92      2075.0000000      1900.0000000        90.0000000    768    769     18     19      2075.0000000      1950.0000000        90.0000000    769    770     19     20         1         1       1.0       1.0     R      2075.0000000      1900.0000000     R      2075.0000000      1950.0000000
     93      2075.0000000      1950.0000000        90.0000000    769    770     19     20      2075.0000000      2000.0000000        90.0000000    769    770     20     21         1         1       1.0       1.0     R      2075.0000000      1950.0000000     R      2075.0000000      2000.0000000
     94      2075.0000000      2000.0000000        90.0000000    769    770     20     21      2075.0000000      2050.0000000        90.0000000    770    769     21     20         1         1       1.0       1.0     R      2075.0000000      2000.0000000     R      2075.0000000      2050.0000000
#Levee 5 - element count : 
32
#       xNstartLeft       yNstartLeft         xNendLeft         yNendLeft      xNstartright      yNstartright        xNendright        yNendright
#      2100.0000000      1050.0000000      3100.0000000      1050.0000000      2100.0000000      1000.0000000      3100.0000000      1000.0000000
# Compt                Xa                Ya                Za    N1a   N1'a    N2a   N2'a                Xb                Yb                Zb    N1b   N1'b    N2b   N2'b   IPARAM1   IPARAM2   RPARAM1   RPARAM2  atyp   axoriginalpoint   ayoriginalpoint  btyp   bxoriginalpoint   byoriginalpoint
     95      2100.0000000      1025.0000000        93.0000000      1     40    515    525      2131.2500000      1025.0000000        93.0000000     40      1    515    525         1         1       1.0       1.0     R      2100.0000000      1025.0000000     R      2131.2500000      1025.0000000
     96      2131.2500000      1025.0000000        93.0000000     40      1    515    525      2162.5000000      1025.0000000        93.0000000     40     60    525    515         1         1       1.0       1.0     R      2131.2500000      1025.0000000     R      2162.5000000      1025.0000000
     97      2162.5000000      1025.0000000        93.0000000     40     60    525    515      2193.7500000      1025.0000000        93.0000000     60     40    525    515         1         1       1.0       1.0     R      2162.5000000      1025.0000000     R      2193.7500000      1025.0000000
     98      2193.7500000      1025.0000000        93.0000000     60     40    525    515      2225.0000000      1025.0000000        93.0000000     60     81    525    535         1         1       1.0       1.0     R      2193.7500000      1025.0000000     R      2225.0000000      1025.0000000
     99      2225.0000000      1025.0000000        93.0000000     60     81    525    535      2256.2500000      1025.0000000        92.7500000     81    103    535    525         1         1       1.0       1.0     R      2225.0000000      1025.0000000     R      2256.2500000      1025.0000000
    100      2256.2500000      1025.0000000        92.7500000     81    103    535    525      2287.5000000      1025.0000000        92.5000000    103     81    535    525         1         1       1.0       1.0     R      2256.2500000      1025.0000000     R      2287.5000000      1025.0000000
    101      2287.5000000      1025.0000000        92.5000000    103     81    535    525      2318.7500000      1025.0000000        92.2500000    103    133    535    546         1         1       1.0       1.0     R      2287.5000000      1025.0000000     R      2318.7500000      1025.0000000
    102      2318.7500000      1025.0000000        92.2500000    103    133    535    546      2350.0000000      1025.0000000        92.0000000    133    156    535    546         1         1       1.0       1.0     R      2318.7500000      1025.0000000     R      2350.0000000      1025.0000000
    103      2350.0000000      1025.0000000        92.0000000    133    156    535    546      2381.2500000      1025.0000000        92.0000000    156    133    546    535         1         1       1.0       1.0     R      2350.0000000      1025.0000000     R      2381.2500000      1025.0000000
    104      2381.2500000      1025.0000000        92.0000000    156    133    546    535      2412.5000000      1025.0000000        92.0000000    156    177    546    558         1         1       1.0       1.0     R      2381.2500000      1025.0000000     R      2412.5000000      1025.0000000
    105      2412.5000000      1025.0000000        92.0000000    156    177    546    558      2443.7500000      1025.0000000        92.0000000    177    156    546    558         1         1       1.0       1.0     R      2412.5000000      1025.0000000     R      2443.7500000      1025.0000000
    106      2443.7500000      1025.0000000        92.0000000    177    156    546    558      2475.0000000      1025.0000000        92.0000000    177    201    558    546         1         1       1.0       1.0     R      2443.7500000      1025.0000000     R      2475.0000000      1025.0000000
    107      2475.0000000      1025.0000000        92.0000000    177    201    558    546      2506.2500000      1025.0000000        91.7500000    201    226    558    571         1         1       1.0       1.0     R      2475.0000000      1025.0000000     R      2506.2500000      1025.0000000
    108      2506.2500000      1025.0000000        91.7500000    201    226    558    571      2537.5000000      1025.0000000        91.5000000    226    201    558    571         1         1       1.0       1.0     R      2506.2500000      1025.0000000     R      2537.5000000      1025.0000000
    109      2537.5000000      1025.0000000        91.5000000    226    201    558    571      2568.7500000      1025.0000000        91.2500000    226    251    571    558         1         1       1.0       1.0     R      2537.5000000      1025.0000000     R      2568.7500000      1025.0000000
    110      2568.7500000      1025.0000000        91.2500000    226    251    571    558      2600.0000000      1025.0000000        91.0000000    251    277    571    584         1         1       1.0       1.0     R      2568.7500000      1025.0000000     R      2600.0000000      1025.0000000
    111      2600.0000000      1025.0000000        91.0000000    251    277    571    584      2631.2500000      1025.0000000        91.2500000    277    251    571    584         1         1       1.0       1.0     R      2600.0000000      1025.0000000     R      2631.2500000      1025.0000000
    112      2631.2500000      1025.0000000        91.2500000    277    251    571    584      2662.5000000      1025.0000000        91.5000000    277    301    584    571         1         1       1.0       1.0     R      2631.2500000      1025.0000000     R      2662.5000000      1025.0000000
    113      2662.5000000      1025.0000000        91.5000000    277    301    584    571      2693.7500000      1025.0000000        91.7500000    301    277    584    571         1         1       1.0       1.0     R      2662.5000000      1025.0000000     R      2693.7500000      1025.0000000
    114      2693.7500000      1025.0000000        91.7500000    301    277    584    571      2725.0000000      1025.0000000        92.0000000    301    325    584    596         1         1       1.0       1.0     R      2693.7500000      1025.0000000     R      2725.0000000      1025.0000000
    115      2725.0000000      1025.0000000        92.0000000    301    325    584    596      2756.2500000      1025.0000000        92.0000000    325    346    596    584         1         1       1.0       1.0     R      2725.0000000      1025.0000000     R      2756.2500000      1025.0000000
    116      2756.2500000      1025.0000000        92.0000000    325    346    596    584      2787.5000000      1025.0000000        92.0000000    346    325    596    584         1         1       1.0       1.0     R      2756.2500000      1025.0000000     R      2787.5000000      1025.0000000
    117      2787.5000000      1025.0000000        92.0000000    346    325    596    584      2818.7500000      1025.0000000        92.0000000    346    368    596    607         1         1       1.0       1.0     R      2787.5000000      1025.0000000     R      2818.7500000      1025.0000000
    118      2818.7500000      1025.0000000        92.0000000    346    368    596    607      2850.0000000      1025.0000000        92.0000000    368    400    596    607         1         1       1.0       1.0     R      2818.7500000      1025.0000000     R      2850.0000000      1025.0000000
    119      2850.0000000      1025.0000000        92.0000000    368    400    596    607      2881.2500000      1025.0000000        92.2500000    400    368    607    596         1         1       1.0       1.0     R      2850.0000000      1025.0000000     R      2881.2500000      1025.0000000
    120      2881.2500000      1025.0000000        92.2500000    400    368    607    596      2912.5000000      1025.0000000        92.5000000    400    422    607    618         1         1       1.0       1.0     R      2881.2500000      1025.0000000     R      2912.5000000      1025.0000000
    121      2912.5000000      1025.0000000        92.5000000    400    422    607    618      2943.7500000      1025.0000000        92.7500000    422    400    607    618         1         1       1.0       1.0     R      2912.5000000      1025.0000000     R      2943.7500000      1025.0000000
    122      2943.7500000      1025.0000000        92.7500000    422    400    607    618      2975.0000000      1025.0000000        93.0000000    422    443    618    607         1         1       1.0       1.0     R      2943.7500000      1025.0000000     R      2975.0000000      1025.0000000
