#time	T_air	Pvap Vit_Vent wind dir	Nebulo	Ray3	P_atm	rain
T       TAIR    PVAP    WINDD   WINDS   CLDC    RAY3    PATM    RAINI
s	degC	hPa	degree	m/s	octa	W/m2	mbar	mm
399600	20	10	0	3.30	5	160	1012.118	0
403200	20	10	0	4.60	5	160	1012.119	0
406800	20	10	0	4.80	5	160	1012.120	0
410400	20	10	0	2.82	5	160	1012.121	0
414000	20	10	0	3.20	5	160	1012.122	0
417600	20	10	0	3.90	5	160	1012.123	0
421200	20	10	0	3.30	5	160	1012.124	0
424800	20	10	0	5.30	5	160	1012.125	0
428400	20	10	0	5.30	5	160	1012.126	0
432000	20	10	0	4.32	5	160	1012.127	0
435600	20	10	0	3.92	5	160	1012.128	0
439200	20	10	0	5.62	5	160	1012.129	0
442800	20	10	0	0.70	5	160	1012.130	0
446400	20	10	0	0.00	5	160	1012.131	0
450000	20	10	0	0.00	5	160	1012.132	0
453600	20	10	0	0.00	5	160	1012.133	0
457200	20	10	0	1.93	5	160	1012.134	0
460800	20	10	0	2.53	5	160	1012.135	0
464400	20	10	0	1.73	5	160	1012.136	0
468000	20	10	0	4.93	5	160	1012.137	0
471600	20	10	0	3.80	5	160	1012.138	0
475200	20	10	0	3.60	5	160	1012.139	0
478800	20	10	0	3.80	5	160	1012.140	0
482400	20	10	0	4.53	5	160	1012.141	0
486000	20	10	0	3.03	5	160	1012.142	0
489600	20	10	0	4.63	5	160	1012.143	0
493200	20	10	0	5.00	5	160	1012.144	0
496800	20	10	0	5.00	5	160	1012.145	0
500400	20	10	0	4.400	5	160	1012.146	0
504000	20	10	0	4.480	5	160	1012.147	0
507600	20	10	0	3.50	5	160	1012.148	0
511200	20	10	0	3.30	5	160	1012.149	0
514800	20	10	0	3.00	5	160	1012.150	0
518400	20	10	0	3.00	5	160	1012.151	0
522000	20	10	0	2.60	5	160	1012.152	0
525600	20	10	0	2.90	5	160	1012.153	0
529200	20	10	0	2.50	5	160	1012.154	0
532800	20	10	0	2.50	5	160	1012.155	0
536400	20	10	0	3.53	5	160	1012.156	0
540000	20	10	0	2.93	5	160	1012.157	0
543600	20	10	0	3.30	5	160	1012.158	0
547200	20	10	0	3.30	5	160	1012.159	0
550800	20	10	0	4.100	5	160	1012.160	0
554400	20	10	0	4.120	5	160	1012.161	0
558000	20	10	0	2.83	5	160	1012.162	0
561600	20	10	0	3.20	5	160	1012.163	0
565200	20	10	0	3.90	5	160	1012.164	0
568800	20	10	0	3.30	5	160	1012.165	0
572400	20	10	0	5.30	5	160	1012.166	0
576000	20	10	0	5.30	5	160	1012.167	0
579600	20	10	0	4.33	5	160	1012.168	0
583200	20	10	0	3.93	5	160	1012.169	0
586800	20	10	0	5.63	5	160	1012.170	0
590400	20	10	0	0.70	5	160	1012.171	0
594000	20	10	0	0.00	5	160	1012.172	0
597600	20	10	0	0.00	5	160	1012.173	0
601200	20	10	0	0.00	5	160	1012.174	0
604800	20	10	0	1.94	5	160	1012.175	0
608400	20	10	0	2.54	5	160	1012.176	0
612000	20	10	0	1.74	5	160	1012.177	0
615600	20	10	0	4.94	5	160	1012.178	0
619200	20	10	0	3.80	5	160	1012.179	0
622800	20	10	0	3.60	5	160	1012.180	0
626400	20	10	0	3.80	5	160	1012.181	0
630000	20	10	0	4.54	5	160	1012.182	0
633600	20	10	0	3.04	5	160	1012.183	0
637200	20	10	0	4.64	5	160	1012.184	0
640800	20	10	0	5.00	5	160	1012.185	0
644400	20	10	0	5.00	5	160	1012.186	0
648000	20	10	0	4.560	5	160	1012.187	0
651600	20	10	0	4.640	5	160	1012.188	0
655200	20	10	0	3.50	5	160	1012.189	0
658800	20	10	0	3.30	5	160	1012.190	0
662400	20	10	0	3.00	5	160	1012.191	0
666000	20	10	0	3.00	5	160	1012.192	0
669600	20	10	0	2.60	5	160	1012.193	0
673200	20	10	0	2.90	5	160	1012.194	0
676800	20	10	0	2.50	5	160	1012.195	0
680400	20	10	0	2.50	5	160	1012.196	0
684000	20	10	0	3.54	5	160	1012.197	0
687600	20	10	0	2.94	5	160	1012.198	0
691200	20	10	0	3.30	5	160	1012.199	0
694800	20	10	0	3.30	5	160	1012.200	0
698400	20	10	0	4.140	5	160	1012.201	0
702000	20	10	0	4.160	5	160	1012.202	0
705600	20	10	0	2.84	5	160	1012.203	0
709200	20	10	0	3.20	5	160	1012.204	0
712800	20	10	0	3.90	5	160	1012.205	0
716400	20	10	0	3.30	5	160	1012.206	0
720000	20	10	0	5.30	5	160	1012.207	0
723600	20	10	0	5.30	5	160	1012.208	0
727200	20	10	0	4.34	5	160	1012.209	0
730800	20	10	0	3.94	5	160	1012.210	0
734400	20	10	0	5.64	5	160	1012.211	0
738000	20	10	0	0.70	5	160	1012.212	0
741600	20	10	0	0.00	5	160	1012.213	0
745200	20	10	0	0.00	5	160	1012.214	0
748800	20	10	0	0.00	5	160	1012.215	0
752400	20	10	0	1.95	5	160	1012.216	0
756000	20	10	0	2.55	5	160	1012.217	0
759600	20	10	0	1.75	5	160	1012.218	0
763200	20	10	0	4.95	5	160	1012.219	0
766800	20	10	0	3.80	5	160	1012.220	0
770400	20	10	0	3.60	5	160	1012.221	0
774000	20	10	0	3.80	5	160	1012.222	0
777600	20	10	0	4.55	5	160	1012.223	0
781200	20	10	0	3.05	5	160	1012.224	0
784800	20	10	0	4.65	5	160	1012.225	0
788400	20	10	0	5.00	5	160	1012.226	0
792000	20	10	0	5.00	5	160	1012.227	0
795600	20	10	0	4.720	5	160	1012.228	0
799200	20	10	0	4.800	5	160	1012.229	0
802800	20	10	0	3.50	5	160	1012.230	0
806400	20	10	0	3.30	5	160	1012.231	0
810000	20	10	0	3.00	5	160	1012.232	0
813600	20	10	0	3.00	5	160	1012.233	0
817200	20	10	0	2.60	5	160	1012.234	0
820800	20	10	0	2.90	5	160	1012.235	0
824400	20	10	0	2.50	5	160	1012.236	0
828000	20	10	0	2.50	5	160	1012.237	0
831600	20	10	0	3.55	5	160	1012.238	0
835200	20	10	0	2.95	5	160	1012.239	0
838800	20	10	0	3.30	5	160	1012.240	0
842400	20	10	0	3.30	5	160	1012.241	0
846000	20	10	0	4.180	5	160	1012.242	0
849600	20	10	0	4.200	5	160	1012.243	0
853200	20	10	0	2.85	5	160	1012.244	0
856800	20	10	0	3.20	5	160	1012.245	0
860400	20	10	0	3.90	5	160	1012.246	0
864000	20	10	0	3.30	5	160	1012.247	0
867600	20	10	0	5.30	5	160	1012.248	0
871200	20	10	0	5.30	5	160	1012.249	0
874800	20	10	0	4.35	5	160	1012.250	0
878400	20	10	0	3.95	5	160	1012.251	0
882000	20	10	0	5.65	5	160	1012.252	0
885600	20	10	0	0.70	5	160	1012.253	0
889200	20	10	0	0.00	5	160	1012.254	0
892800	20	10	0	0.00	5	160	1012.255	0
896400	20	10	0	0.00	5	160	1012.256	0
900000	20	10	0	1.96	5	160	1012.257	0
903600	20	10	0	2.56	5	160	1012.258	0
907200	20	10	0	1.76	5	160	1012.259	0
910800	20	10	0	4.96	5	160	1012.260	0
914400	20	10	0	3.80	5	160	1012.261	0
918000	20	10	0	3.60	5	160	1012.262	0
921600	20	10	0	3.80	5	160	1012.263	0
925200	20	10	0	4.56	5	160	1012.264	0
928800	20	10	0	3.06	5	160	1012.265	0
932400	20	10	0	4.66	5	160	1012.266	0
936000	20	10	0	5.00	5	160	1012.267	0
939600	20	10	0	5.00	5	160	1012.268	0
943200	20	10	0	4.880	5	160	1012.269	0
946800	20	10	0	4.960	5	160	1012.270	0
950400	20	10	0	3.50	5	160	1012.271	0
954000	20	10	0	3.30	5	160	1012.272	0
957600	20	10	0	3.00	5	160	1012.273	0
961200	20	10	0	3.00	5	160	1012.274	0
964800	20	10	0	2.60	5	160	1012.275	0
968400	20	10	0	2.90	5	160	1012.276	0
972000	20	10	0	2.50	5	160	1012.277	0
975600	20	10	0	2.50	5	160	1012.278	0
979200	20	10	0	3.56	5	160	1012.279	0
982800	20	10	0	2.96	5	160	1012.280	0
986400	20	10	0	3.30	5	160	1012.281	0
990000	20	10	0	3.30	5	160	1012.282	0
993600	20	10	0	4.220	5	160	1012.283	0
997200	20	10	0	4.240	5	160	1012.284	0
1000800	20	10	0	2.86	5	160	1012.285	0
1004400	20	10	0	3.20	5	160	1012.286	0
1008000	20	10	0	3.90	5	160	1012.287	0
1011600	20	10	0	3.30	5	160	1012.288	0
1015200	20	10	0	5.30	5	160	1012.289	0
1018800	20	10	0	5.30	5	160	1012.290	0
1022400	20	10	0	4.36	5	160	1012.291	0
1026000	20	10	0	3.96	5	160	1012.292	0
1029600	20	10	0	5.66	5	160	1012.293	0
1033200	20	10	0	0.70	5	160	1012.294	0
1036800	20	10	0	0.00	5	160	1012.295	0
1040400	20	10	0	0.00	5	160	1012.296	0
1044000	20	10	0	0.00	5	160	1012.297	0
1047600	20	10	0	1.97	5	160	1012.298	0
1051200	20	10	0	2.57	5	160	1012.299	0
1054800	20	10	0	1.77	5	160	1012.300	0
1058400	20	10	0	4.97	5	160	1012.301	0
1062000	20	10	0	3.80	5	160	1012.302	0
1065600	20	10	0	3.60	5	160	1012.303	0
1069200	20	10	0	3.80	5	160	1012.304	0
1072800	20	10	0	4.57	5	160	1012.305	0
1076400	20	10	0	3.07	5	160	1012.306	0
1080000	20	10	0	4.67	5	160	1012.307	0
1083600	20	10	0	5.00	5	160	1012.308	0
1087200	20	10	0	5.00	5	160	1012.309	0
1090800	20	10	0	4.1040	5	160	1012.310	0
1094400	20	10	0	4.1120	5	160	1012.311	0
1098000	20	10	0	3.50	5	160	1012.312	0
1101600	20	10	0	3.30	5	160	1012.313	0
1105200	20	10	0	3.00	5	160	1012.314	0
1108800	20	10	0	3.00	5	160	1012.315	0
1112400	20	10	0	2.60	5	160	1012.316	0
1116000	20	10	0	2.90	5	160	1012.317	0
1119600	20	10	0	2.50	5	160	1012.318	0
1123200	20	10	0	2.50	5	160	1012.319	0
1126800	20	10	0	3.57	5	160	1012.320	0
1130400	20	10	0	2.97	5	160	1012.321	0
1134000	20	10	0	3.30	5	160	1012.322	0
1137600	20	10	0	3.30	5	160	1012.323	0
1141200	20	10	0	4.260	5	160	1012.324	0
1144800	20	10	0	4.280	5	160	1012.325	0
1148400	20	10	0	2.87	5	160	1012.326	0
1152000	20	10	0	3.20	5	160	1012.327	0
1155600	20	10	0	3.90	5	160	1012.328	0
1159200	20	10	0	3.30	5	160	1012.329	0
1162800	20	10	0	5.30	5	160	1012.330	0
1166400	20	10	0	5.30	5	160	1012.331	0
1170000	20	10	0	4.37	5	160	1012.332	0
1173600	20	10	0	3.97	5	160	1012.333	0
1177200	20	10	0	5.67	5	160	1012.334	0
1180800	20	10	0	0.70	5	160	1012.335	0
1184400	20	10	0	0.00	5	160	1012.336	0
1188000	20	10	0	0.00	5	160	1012.337	0
1191600	20	10	0	0.00	5	160	1012.338	0
1195200	20	10	0	1.98	5	160	1012.339	0
1198800	20	10	0	2.58	5	160	1012.340	0
1202400	20	10	0	1.78	5	160	1012.341	0
1206000	20	10	0	4.98	5	160	1012.342	0
1209600	20	10	0	3.80	5	160	1012.343	0
1213200	20	10	0	3.60	5	160	1012.344	0
1216800	20	10	0	3.80	5	160	1012.345	0
1220400	20	10	0	4.58	5	160	1012.346	0
1224000	20	10	0	3.08	5	160	1012.347	0
1227600	20	10	0	4.68	5	160	1012.348	0
1231200	20	10	0	5.00	5	160	1012.349	0
1234800	20	10	0	5.00	5	160	1012.350	0
1238400	20	10	0	4.1200	5	160	1012.351	0
1242000	20	10	0	4.1280	5	160	1012.352	0
1245600	20	10	0	3.50	5	160	1012.353	0
1249200	20	10	0	3.30	5	160	1012.354	0
1252800	20	10	0	3.00	5	160	1012.355	0
1256400	20	10	0	3.00	5	160	1012.356	0
1260000	20	10	0	2.60	5	160	1012.357	0
1263600	20	10	0	2.90	5	160	1012.358	0
1267200	20	10	0	2.50	5	160	1012.359	0
1270800	20	10	0	2.50	5	160	1012.360	0
1274400	20	10	0	3.58	5	160	1012.361	0
1278000	20	10	0	2.98	5	160	1012.362	0
1281600	20	10	0	3.30	5	160	1012.363	0
1285200	20	10	0	3.30	5	160	1012.364	0
1288800	20	10	0	4.300	5	160	1012.365	0
1292400	20	10	0	4.320	5	160	1012.366	0
1296000	20	10	0	2.88	5	160	1012.367	0
1299600	20	10	0	3.20	5	160	1012.368	0
1303200	20	10	0	3.90	5	160	1012.369	0
1306800	20	10	0	3.30	5	160	1012.370	0
1310400	20	10	0	5.30	5	160	1012.371	0
1314000	20	10	0	5.30	5	160	1012.372	0
1317600	20	10	0	4.38	5	160	1012.373	0
1321200	20	10	0	3.98	5	160	1012.374	0
1324800	20	10	0	5.68	5	160	1012.375	0
1328400	20	10	0	0.70	5	160	1012.376	0
1332000	20	10	0	0.00	5	160	1012.377	0
1335600	20	10	0	0.00	5	160	1012.378	0
1339200	20	10	0	0.00	5	160	1012.379	0
1342800	20	10	0	1.99	5	160	1012.380	0
1346400	20	10	0	2.59	5	160	1012.381	0
1350000	20	10	0	1.79	5	160	1012.382	0
1353600	20	10	0	4.99	5	160	1012.383	0
1357200	20	10	0	3.80	5	160	1012.384	0
1360800	20	10	0	3.60	5	160	1012.385	0
1364400	20	10	0	3.80	5	160	1012.386	0
1368000	20	10	0	4.59	5	160	1012.387	0
1371600	20	10	0	3.09	5	160	1012.388	0
1375200	20	10	0	4.69	5	160	1012.389	0
1378800	20	10	0	5.00	5	160	1012.390	0
1382400	20	10	0	5.00	5	160	1012.391	0
1386000	20	10	0	4.1360	5	160	1012.392	0
1389600	20	10	0	4.1440	5	160	1012.393	0
1393200	20	10	0	3.50	5	160	1012.394	0
1396800	20	10	0	3.30	5	160	1012.395	0
1400400	20	10	0	3.00	5	160	1012.396	0
1404000	20	10	0	3.00	5	160	1012.397	0
1407600	20	10	0	2.60	5	160	1012.398	0
1411200	20	10	0	2.90	5	160	1012.399	0
1414800	20	10	0	2.50	5	160	1012.400	0
1418400	20	10	0	2.50	5	160	1012.401	0
1422000	20	10	0	3.59	5	160	1012.402	0
1425600	20	10	0	2.99	5	160	1012.403	0
1429200	20	10	0	3.30	5	160	1012.404	0
1432800	20	10	0	3.30	5	160	1012.405	0
1436400	20	10	0	4.340	5	160	1012.406	0
1440000	20	10	0	4.360	5	160	1012.407	0
1443600	20	10	0	2.89	5	160	1012.408	0
1447200	20	10	0	3.20	5	160	1012.409	0
1450800	20	10	0	3.90	5	160	1012.410	0
1454400	20	10	0	3.30	5	160	1012.411	0
1458000	20	10	0	5.30	5	160	1012.412	0
1461600	20	10	0	5.30	5	160	1012.413	0
1465200	20	10	0	4.39	5	160	1012.414	0
1468800	20	10	0	3.99	5	160	1012.415	0
1472400	20	10	0	5.69	5	160	1012.416	0
1476000	20	10	0	0.70	5	160	1012.417	0
1479600	20	10	0	0.00	5	160	1012.418	0
1483200	20	10	0	0.00	5	160	1012.419	0
1486800	20	10	0	0.00	5	160	1012.420	0
1490400	20	10	0	1.100	5	160	1012.421	0
1494000	20	10	0	2.60	5	160	1012.422	0
1497600	20	10	0	1.80	5	160	1012.423	0
1501200	20	10	0	4.100	5	160	1012.424	0
1504800	20	10	0	3.80	5	160	1012.425	0
1508400	20	10	0	3.60	5	160	1012.426	0
1512000	20	10	0	3.80	5	160	1012.427	0
1515600	20	10	0	4.60	5	160	1012.428	0
1519200	20	10	0	3.10	5	160	1012.429	0
1522800	20	10	0	4.70	5	160	1012.430	0
1526400	20	10	0	5.00	5	160	1012.431	0
1530000	20	10	0	5.00	5	160	1012.432	0
1533600	20	10	0	4.1520	5	160	1012.433	0
1537200	20	10	0	4.1600	5	160	1012.434	0
1540800	20	10	0	3.50	5	160	1012.435	0
1544400	20	10	0	3.30	5	160	1012.436	0
1548000	20	10	0	3.00	5	160	1012.437	0
1551600	20	10	0	3.00	5	160	1012.438	0
1555200	20	10	0	2.60	5	160	1012.439	0
1558800	20	10	0	2.90	5	160	1012.440	0
1562400	20	10	0	2.50	5	160	1012.441	0
1566000	20	10	0	2.50	5	160	1012.442	0
1569600	20	10	0	3.60	5	160	1012.443	0
1573200	20	10	0	2.100	5	160	1012.444	0
1576800	20	10	0	3.30	5	160	1012.445	0
1580400	20	10	0	3.30	5	160	1012.446	0
1584000	20	10	0	4.380	5	160	1012.447	0
1587600	20	10	0	4.400	5	160	1012.448	0
1591200	20	10	0	2.90	5	160	1012.449	0
1594800	20	10	0	3.20	5	160	1012.450	0
1598400	20	10	0	3.90	5	160	1012.451	0
1602000	20	10	0	3.30	5	160	1012.452	0
1605600	20	10	0	5.30	5	160	1012.453	0
1609200	20	10	0	5.30	5	160	1012.454	0
1612800	20	10	0	4.40	5	160	1012.455	0
1616400	20	10	0	3.100	5	160	1012.456	0
1620000	20	10	0	5.70	5	160	1012.457	0
1623600	20	10	0	0.70	5	160	1012.458	0
1627200	20	10	0	0.00	5	160	1012.459	0
1630800	20	10	0	0.00	5	160	1012.460	0
1634400	20	10	0	0.00	5	160	1012.461	0
1638000	20	10	0	1.101	5	160	1012.462	0
1641600	20	10	0	2.61	5	160	1012.463	0
1645200	20	10	0	1.81	5	160	1012.464	0
1648800	20	10	0	4.101	5	160	1012.465	0
1652400	20	10	0	3.80	5	160	1012.466	0
1656000	20	10	0	3.60	5	160	1012.467	0
1659600	20	10	0	3.80	5	160	1012.468	0
1663200	20	10	0	4.61	5	160	1012.469	0
1666800	20	10	0	3.11	5	160	1012.470	0
1670400	20	10	0	4.71	5	160	1012.471	0
1674000	20	10	0	5.00	5	160	1012.472	0
1677600	20	10	0	5.00	5	160	1012.473	0
1681200	20	10	0	4.1680	5	160	1012.474	0
1684800	20	10	0	4.1760	5	160	1012.475	0
1688400	20	10	0	3.50	5	160	1012.476	0
1692000	20	10	0	3.30	5	160	1012.477	0
1695600	20	10	0	3.00	5	160	1012.478	0
1699200	20	10	0	3.00	5	160	1012.479	0
1702800	20	10	0	2.60	5	160	1012.480	0
1706400	20	10	0	2.90	5	160	1012.481	0
1710000	20	10	0	2.50	5	160	1012.482	0
1713600	20	10	0	2.50	5	160	1012.483	0
1717200	20	10	0	3.61	5	160	1012.484	0
1720800	20	10	0	2.101	5	160	1012.485	0
1724400	20	10	0	3.30	5	160	1012.486	0
1728000	20	10	0	3.30	5	160	1012.487	0
1731600	20	10	0	4.420	5	160	1012.488	0
1735200	20	10	0	4.440	5	160	1012.489	0
1738800	20	10	0	2.91	5	160	1012.490	0
1742400	20	10	0	3.20	5	160	1012.491	0
1746000	20	10	0	3.90	5	160	1012.492	0
1749600	20	10	0	3.30	5	160	1012.493	0
1753200	20	10	0	5.30	5	160	1012.494	0
1756800	20	10	0	5.30	5	160	1012.495	0
1760400	20	10	0	4.41	5	160	1012.496	0
1764000	20	10	0	3.101	5	160	1012.497	0
1767600	20	10	0	5.71	5	160	1012.498	0
1771200	20	10	0	0.70	5	160	1012.499	0
1774800	20	10	0	0.00	5	160	1012.500	0
1778400	20	10	0	0.00	5	160	1012.501	0
1782000	20	10	0	0.00	5	160	1012.502	0
1785600	20	10	0	1.102	5	160	1012.503	0
1789200	20	10	0	2.62	5	160	1012.504	0
1792800	20	10	0	1.82	5	160	1012.505	0
1796400	20	10	0	4.102	5	160	1012.506	0
1800000	20	10	0	3.80	5	160	1012.507	0
1803600	20	10	0	3.60	5	160	1012.508	0
1807200	20	10	0	3.80	5	160	1012.509	0
1810800	20	10	0	4.62	5	160	1012.510	0
1814400	20	10	0	3.12	5	160	1012.511	0
1818000	20	10	0	4.72	5	160	1012.512	0
1821600	20	10	0	5.00	5	160	1012.513	0
1825200	20	10	0	5.00	5	160	1012.514	0
1828800	20	10	0	4.1840	5	160	1012.515	0
1832400	20	10	0	4.1920	5	160	1012.516	0
1836000	20	10	0	3.50	5	160	1012.517	0
1839600	20	10	0	3.30	5	160	1012.518	0
1843200	20	10	0	3.00	5	160	1012.519	0
1846800	20	10	0	3.00	5	160	1012.520	0
1850400	20	10	0	2.60	5	160	1012.521	0
1854000	20	10	0	2.90	5	160	1012.522	0
1857600	20	10	0	2.50	5	160	1012.523	0
1861200	20	10	0	2.50	5	160	1012.524	0
1864800	20	10	0	3.62	5	160	1012.525	0
1868400	20	10	0	2.102	5	160	1012.526	0
1872000	20	10	0	3.30	5	160	1012.527	0
1875600	20	10	0	3.30	5	160	1012.528	0
1879200	20	10	0	4.460	5	160	1012.529	0
1882800	20	10	0	4.480	5	160	1012.530	0
1886400	20	10	0	2.92	5	160	1012.531	0
1890000	20	10	0	3.20	5	160	1012.532	0
1893600	20	10	0	3.90	5	160	1012.533	0
1897200	20	10	0	3.30	5	160	1012.534	0
1900800	20	10	0	5.30	5	160	1012.535	0
1904400	20	10	0	5.30	5	160	1012.536	0
1908000	20	10	0	4.42	5	160	1012.537	0
1911600	20	10	0	3.102	5	160	1012.538	0
1915200	20	10	0	5.72	5	160	1012.539	0
1918800	20	10	0	0.70	5	160	1012.540	0
1922400	20	10	0	0.00	5	160	1012.541	0
1926000	20	10	0	0.00	5	160	1012.542	0
1929600	20	10	0	0.00	5	160	1012.543	0
1933200	20	10	0	1.103	5	160	1012.544	0
1936800	20	10	0	2.63	5	160	1012.545	0
1940400	20	10	0	1.83	5	160	1012.546	0
1944000	20	10	0	4.103	5	160	1012.547	0
1947600	20	10	0	3.80	5	160	1012.548	0
1951200	20	10	0	3.60	5	160	1012.549	0
1954800	20	10	0	3.80	5	160	1012.550	0
1958400	20	10	0	4.63	5	160	1012.551	0
1962000	20	10	0	3.13	5	160	1012.552	0
1965600	20	10	0	4.73	5	160	1012.553	0
1969200	20	10	0	5.00	5	160	1012.554	0
1972800	20	10	0	5.00	5	160	1012.555	0
1976400	20	10	0	4.2000	5	160	1012.556	0
1980000	20	10	0	4.2080	5	160	1012.557	0
1983600	20	10	0	3.50	5	160	1012.558	0
1987200	20	10	0	3.30	5	160	1012.559	0
1990800	20	10	0	3.00	5	160	1012.560	0
1994400	20	10	0	3.00	5	160	1012.561	0
1998000	20	10	0	2.60	5	160	1012.562	0
2001600	20	10	0	2.90	5	160	1012.563	0
2005200	20	10	0	2.50	5	160	1012.564	0
2008800	20	10	0	2.50	5	160	1012.565	0
2012400	20	10	0	3.63	5	160	1012.566	0
2016000	20	10	0	2.103	5	160	1012.567	0
